Date,Product Name,Category,Sales Amount,Quantity Sold,Region,Customer Segment
8/7/2024,Natural Peanut Butter,Food - Spreads,652,47,Japan,Public Utilities
10/16/2024,Peach Mango Smoothie,Food - Beverages,1112,30,Greece,Finance
6/25/2025,Frozen Acai Purée,Food - Frozen,4174,40,China,n/a
7/19/2025,Pet Travel Bowl,Pets,1866,15,Russia,Technology
5/1/2025,Herb Garden Planter Box,Garden,2202,21,Colombia,Health Care
7/8/2025,Spicy Roasted Nuts,Food - Snacks,412,5,Portugal,Energy
12/10/2024,Kids' Dinosaur-Themed Lunchbox,Accessories,4797,27,Tunisia,Finance
2/3/2025,Chocolate Protein Powder,Food - Supplements,2765,13,Russia,Miscellaneous
11/10/2024,Honey Garlic Sauce,Food - Sauces,2896,25,Indonesia,n/a
7/14/2025,Toy Building Set,Toys,3226,36,China,n/a
4/15/2025,Poppy Seed Dressing,Food - Condiments,1174,35,Croatia,Consumer Services
1/19/2025,Insulated Lunch Box,Kitchen,873,31,Indonesia,Health Care
7/28/2024,Peach & Mango Salsa,Food - Snacks,4637,1,Russia,Consumer Non-Durables
9/29/2024,Lemon Herb Chicken,Food - Meat,2336,9,South Africa,Consumer Services
5/20/2025,Mini Projector for Smartphones,Electronics,4073,38,Philippines,Consumer Services
9/24/2024,LED Camping Lantern with USB Charging,Outdoor,3435,7,Norway,n/a
7/7/2025,Golf Putting Green,Sports,4054,34,Norway,Basic Industries
1/19/2025,Dog Walking Waist Pack,Pets,611,9,Poland,Health Care
12/11/2024,Interactive Plush Toy,Toys,4289,21,Norway,Basic Industries
10/1/2024,Safety First Aid Kit,Health,2035,17,Ethiopia,Technology
11/11/2024,Classic Pesto Sauce,Food - Sauces,1980,18,United States,Energy
4/8/2025,Peanut Butter Pretzel Bites,Food - Snacks,3022,37,Portugal,Finance
7/9/2025,Brazil Nuts,Food - Nuts,2963,21,Poland,Health Care
4/12/2025,Pumpkin Pancake Mix,Food - Breakfast,2363,2,Indonesia,Miscellaneous
2/25/2025,Casual Sneakers,Clothing - Footwear,4061,14,Russia,Miscellaneous
12/24/2024,Avocado Oil Mayo,Food - Condiments,630,37,Luxembourg,Finance
4/6/2025,Denim Jacket,Clothing - Outerwear,2290,48,Luxembourg,Consumer Durables
4/20/2025,Cooking Utensil Set,Kitchen,1505,42,Philippines,Consumer Durables
7/17/2025,Toilet Paper (12 rolls),Food - Household,2772,33,France,Consumer Services
9/4/2024,Protein Pancake Mix,Food - Breakfast,2091,44,Ireland,Finance
12/10/2024,Garden Hose Reel,Garden,3059,26,China,n/a
1/16/2025,Coconut Bowls Set,Kitchen,3667,27,Pakistan,n/a
7/9/2025,Over-the-Door Hooks,Home,4652,45,China,Basic Industries
8/21/2024,Apple Juice,Food - Beverages,4163,12,China,Health Care
1/28/2025,Spicy Tuna Sushi Kit,Food - Prepared Meals,942,4,Honduras,Transportation
8/3/2024,Foldable Yoga Mat,Fitness,3015,28,Canada,Transportation
6/21/2025,Jennifer's Amazing Lip Balm Kit,Beauty,1720,10,Reunion,n/a
5/26/2025,Honey Garlic Chicken,Food - Meat,1665,17,China,Public Utilities
4/18/2025,Berry Smoothie Mix,Food - Frozen Foods,892,5,Japan,Technology
10/10/2024,Hiking Gaiters,Outdoor,2549,37,Philippines,Health Care
12/11/2024,Hibiscus Herbal Tea,Food - Beverages,2460,6,Afghanistan,Consumer Services
9/19/2024,Spicy Garlic Edamame,Food - Snacks,2343,1,China,n/a
12/11/2024,Lemon Dill Chicken Skewers,Food - Meat,349,21,Madagascar,Technology
2/22/2025,Roasted Chickpeas,Food - Snacks,4066,46,China,Energy
12/23/2024,Oven Mitts with Pocket,Kitchen,1842,41,Serbia,Technology
7/2/2025,Cucumber Lime Sparkling Water,Food - Beverages,1935,5,Belarus,n/a
8/29/2024,Self-Massaging Pillow,Health,4436,1,Russia,Miscellaneous
8/16/2024,Pet Hair Vacuum Cleaner Attachment,Pets,87,43,Indonesia,Consumer Durables
10/5/2024,Sporty Leggings,Clothing - Activewear,1513,31,Vietnam,Public Utilities
4/19/2025,Honey Glazed Carrots,Food - Produce,3458,37,Indonesia,Capital Goods
4/24/2025,Dog Training Collar,Pets,1184,8,Lebanon,n/a
2/19/2025,Relaxed Fit Henley Shirt,Clothing - Tops,1525,32,China,n/a
11/9/2024,Sous Vide Cooker,Kitchen,2021,35,Nigeria,Finance
5/30/2025,Salt and Pepper Grinder Set,Kitchen,3998,21,Japan,Consumer Services
9/29/2024,Compost Bin,Garden,1073,20,China,Finance
4/11/2025,Adjustable Garden Rake,Garden,2003,18,Philippines,Finance
4/28/2025,Cushion Covers,Home,3440,8,Brazil,n/a
1/27/2025,Savory Quinoa Pudding,Food - Sides,3210,5,China,Consumer Services
3/11/2025,Classic BBQ Sauce,Food - Condiments,3109,42,Canada,n/a
6/7/2025,Marinated Artichokes,Food - Vegetables,1459,21,Sweden,Health Care
12/14/2024,Adjustable Resistance Bands,Fitness,1914,15,Philippines,Miscellaneous
10/1/2024,Smartphone Holder for Car,Automotive,3247,24,Philippines,n/a
4/4/2025,Adjustable Pedicure Footrest,Beauty,140,33,China,n/a
11/29/2024,Pet Grooming Brush,Pets,1120,36,Malaysia,n/a
5/31/2025,Peach Green Tea,Food - Beverages,3499,24,Colombia,Technology
